State,total_population,population_male,population_female
Maharashtra,37722136,19961736,17760400
Uttar Pradesh,25302925,13433369,11869556
Andhra Pradesh,18171615,9192368,8979247
West Bengal,18063509,9357777,8705732
Gujarat,17835049,9541688,8293361
Karnataka,15799896,8112840,7687056
Tamil Nadu,13879395,6957261,6922134
Delhi,13481997,7201322,6280675
Madhya Pradesh,11023091,5761143,5261948
Rajasthan,10443016,5484470,4958546
Bihar,6714516,3558722,3155794
Haryana,5952223,3181968,2770255
Punjab,5821876,3106473,2715403
Jharkhand,4278259,2247819,2030440
Chhattisgarh,3137918,1612019,1525899
Odisha,3003234,1560423,1442811
Kerala,2755973,1335615,1420358
Jammu And Kashmir,1804987,953292,851695
Assam,1391154,720132,671022
Uttarakhand,1340397,706939,633458
Chandigarh,960787,525226,435561
Puducherry,541801,266359,275442
Tripura,399688,199616,200072
Mizoram,291822,143803,148019
Manipur,264986,128931,136055
Himachal Pradesh,169758,93364,76394
Meghalaya,143007,70028,72979
Nagaland,123777,65017,58760
Andaman And Nicobar Islands,100608,53247,47361
Sikkim,610577,323070,287507
Dadra And Nagar Haveli,13039,8193,4846
Telangana,35003674,17611633,17392041
Goa,1458545,739140,719405
Arunachal Pradesh,1579000,771000,808000
Daman And Diu,243000,150000,9300
Ladakh,307203,158000,149203
